RBT-80 per-season series, conventional population, all nine arms.
Committed so sections 1, 3 and 5 of the report are re-derivable by
someone other than the author (adversary finding 7; RBT-86).
No genomes are shipped: these are aggregate per-season numbers only.

## mean_lifetime_score by season  (section 3: yield = seeded - control)

season A:seeded   A:control  A:drift    B:seeded   B:control  B:drift    C:seeded   C:control  C:drift   
   199     1.0758     0.6278     0.2978     1.0564     0.6206     0.4423     1.0426     0.6242     0.0896
   200     1.1768     0.6583     0.2741     1.0537     0.6601     0.4231     1.0532     0.6544     0.1082
   201     1.1645     0.6488     0.2667     1.0677     0.6853     0.4183     1.1343     0.6099     0.1092
   202     1.2496     0.6261     0.2682     1.0156     0.6822     0.4046     1.1806     0.7231     0.1105
   203     1.1672     0.5821     0.2765     0.9932     0.6991     0.4047     1.2288     0.6686     0.1225
   204     1.1627     0.5780     0.2434     0.9582     0.6302     0.4309     1.1713     0.6465     0.0758
   205     1.2025     0.5631     0.2536     1.0056     0.6031     0.3842     1.2621     0.6639     0.0924
   206     1.2226     0.5457     0.2427     1.0092     0.6495     0.3946     1.2705     0.6478     0.0903
   207     1.2482     0.5377     0.2332     0.9555     0.5544     0.3941     1.1335     0.6438     0.0780
   208     1.2538     0.5286     0.2090     0.9662     0.6091     0.4565     1.1502     0.6031     0.1317
   209     1.2390     0.5775     0.2378     0.9394     0.6334     0.4385     1.1446     0.6192     0.1237
   210     1.2413     0.5342     0.2549     0.9066     0.6333     0.4258     1.1739     0.6247     0.1082
   211     1.2199     0.5359     0.2335     0.9455     0.5789     0.4151     1.1922     0.6327     0.1136
   212     1.1736     0.5901     0.2309     0.9255     0.6434     0.4185     1.1856     0.6000     0.1059
   213     1.1715     0.6138     0.2433     0.9236     0.6562     0.4135     1.1521     0.6685     0.1089
   214     1.1665     0.5949     0.2317     0.9700     0.7405     0.4349     1.1588     0.6849     0.0953
   215     1.1609     0.5567     0.2394     1.0166     0.8048     0.4358     1.1357     0.6382     0.0999
   216     1.2060     0.5787     0.2434     1.0205     0.7636     0.4343     1.1245     0.7092     0.0924
