season  pop           alive  births  deaths  best/mean lifetime  mean age  max age
   180  holistic         60       0       0  2.806/1.323           33.2       58
   180  conventional     60       1       1  1.961/0.941           33.7       59
   181  holistic         60       0       0  2.673/1.334           34.2       59
   181  conventional     60       1       1  3.361/0.955           33.7       59
   182  holistic         60       1       1  2.640/1.320           34.2       52
   182  conventional     60       1       1  1.893/0.907           33.7       59
   183  holistic         60       0       0  2.970/1.376           35.2       53
   183  conventional     60       2       2  1.849/0.896           32.7       58
   184  holistic         60       0       0  2.757/1.360           36.2       54
   184  conventional     60       0       0  2.451/0.913           33.7       59
   185  holistic         60       0       0  2.709/1.340           37.2       55
   185  conventional     60       1       1  1.728/0.900           33.7       59
   186  holistic         60       0       0  2.662/1.314           38.2       56
   186  conventional     60       4       4  1.664/0.812           31.6       59
   187  holistic         60       0       0  2.618/1.289           39.2       57
   187  conventional     60       3       3  1.650/0.729           30.6       59
   188  holistic         60       0       0  2.719/1.297           40.2       58
   188  conventional     60       5       5  1.772/0.677           28.5       59
   189  holistic         60       0       0  2.746/1.312           41.2       59
   189  conventional     60       3       3  1.758/0.677           27.5       58
   190  holistic         60       1       1  2.680/1.311           41.2       59
   190  conventional     60       2       2  2.444/0.794           28.4       59
   191  holistic         60       1       1  2.640/1.279           41.2       57
   191  conventional     60       4       4  3.476/0.758           27.4       59
   192  holistic         60       0       0  2.688/1.292           42.2       58
   192  conventional     60       4       4  2.474/0.733           27.2       59
   193  holistic         60       0       0  2.649/1.302           43.2       59
   193  conventional     60       3       3  2.529/0.766           27.0       59
   194  holistic         60       3       3  2.633/1.223           42.1       59
   194  conventional     60       1       1  1.538/0.779           27.0       59
   195  holistic         60       1       1  2.658/1.245           42.1       58
   195  conventional     60       4       4  1.750/0.768           25.5       59
   196  holistic         60       0       0  2.601/1.235           43.1       59
   196  conventional     60       3       3  1.509/0.711           25.2       59
   197  holistic         60       1       1  2.547/1.254           43.1       58
   197  conventional     60       2       2  2.626/0.830           25.1       58
   198  holistic         60       2       2  2.503/1.245           44.0       59
   198  conventional     60       1       1  2.128/0.809           26.0       59
   199  holistic         60       3       3  2.602/1.169           42.2       59
   199  conventional     60       2       2  2.003/0.860           25.9       59
   200  holistic         60       2       2  2.608/1.148           41.2       59
   200  conventional     60       3       3  1.850/0.840           25.9       59
   201  holistic         60       4       4  2.824/1.144           39.1       59
   201  conventional     60       4       4  2.265/0.852           24.7       59
   202  holistic         60       6       6  2.972/1.060           34.2       59
   202  conventional     60       4       4  3.590/0.865           22.5       58
   203  holistic         60       4       4  5.965/1.243           33.9       59
   203  conventional     60       1       1  2.594/0.867           23.5       59
   204  holistic         60       9       9  5.465/1.124           27.8       59
   204  conventional     60       2       2  1.704/0.833           23.5       57
   205  holistic         60       5       5  5.952/1.220           24.7       59
   205  conventional     60       0       0  4.550/0.993           24.5       58
   206  holistic         60       5       5  4.953/1.192           20.7       59
   206  conventional     60       1       1  3.548/0.989           25.4       59
   207  holistic         60       3       3  3.953/1.163           20.6       59
   207  conventional     60       2       2  3.884/0.958           25.3       59
   208  holistic         60       2       2  2.953/1.101           20.5       59
   208  conventional     60       4       4  2.800/0.855           22.3       57
   209  holistic         60       4       4  2.753/1.002           18.4       59
   209  conventional     60       3       3  2.350/0.852           22.6       58
   210  holistic         60       4       4  3.152/0.988           16.4       58
   210  conventional     60       1       1  2.498/0.850           23.6       59
   211  holistic         60       3       3  5.986/1.095           17.1       59
   211  conventional     60       4       4  1.858/0.798           23.3       58
   212  holistic         60       1       1  3.984/1.034           17.1       59
   212  conventional     60       0       0  2.204/0.873           24.3       59
   213  holistic         60       2       2  3.886/1.099           17.1       59
   213  conventional     60       2       2  1.968/0.826           23.3       59
   214  holistic         60       4       4  2.976/1.034           16.6       57
   214  conventional     60       4       4  1.979/0.798           22.2       59
   215  holistic         60       0       0  2.854/1.081           17.6       58
   215  conventional     60       2       2  3.496/0.878           22.1       58
   216  holistic         60       0       0  3.026/1.045           18.6       59
   216  conventional     60       0       0  3.500/0.845           23.1       59
   217  holistic         60       4       4  3.086/0.999           16.4       59
   217  conventional     60       1       1  2.821/0.826           23.1       59
   218  holistic         60       2       2  2.906/1.070           16.2       59
   218  conventional     60       1       1  2.237/0.833           23.1       59
   219  holistic         60       2       2  2.752/1.052           16.1       58
   219  conventional     60       2       2  1.886/0.819           22.9       58
   220  holistic         60       1       1  2.751/1.097           16.8       59
   220  conventional     60       1       1  1.792/0.857           23.9       59
   221  holistic         60       1       1  2.944/1.072           16.8       57
   221  conventional     60       3       3  1.836/0.804           23.7       51
   222  holistic         60       1       1  3.144/1.107           17.8       58
   222  conventional     60       0       0  2.002/0.808           24.7       52
   223  holistic         60       0       0  3.957/1.181           18.8       59
   223  conventional     60       1       1  1.836/0.806           25.7       53
   224  holistic         60       1       1  3.234/1.111           18.8       58
   224  conventional     60       0       0  1.901/0.782           26.7       54
   225  holistic         60       1       1  2.946/1.119           19.4       59
   225  conventional     60       1       1  1.954/0.755           27.6       55
   226  holistic         60       4       4  3.056/1.079           18.1       56
   226  conventional     60       1       1  2.002/0.760           28.6       56
   227  holistic         60       0       0  2.962/1.133           19.1       57
   227  conventional     60       1       1  1.965/0.812           29.5       57
   228  holistic         60       0       0  3.296/1.171           20.1       58
   228  conventional     60       0       0  1.994/0.828           30.5       58
   229  holistic         60       1       1  3.113/1.182           21.1       59
   229  conventional     60       0       0  1.837/0.815           31.5       59
   230  holistic         60       2       2  3.177/1.192           21.0       58
   230  conventional     60       3       3  1.815/0.781           30.1       59
   231  holistic         60       0       0  3.852/1.273           22.0       59
   231  conventional     60       1       1  2.441/0.830           30.1       59
   232  holistic         60       1       1  3.079/1.273           22.0       50
   232  conventional     60       1       1  1.976/0.855           30.1       59
   233  holistic         60       0       0  3.192/1.298           23.0       51
   233  conventional     60       1       1  1.714/0.823           30.1       59
   234  holistic         60       0       0  3.005/1.277           24.0       52
   234  conventional     60       3       3  1.552/0.818           29.1       59
   235  holistic         60       0       0  2.947/1.266           25.0       53
   235  conventional     60       1       1  1.553/0.860           29.1       57
   236  holistic         60       0       0  3.105/1.249           26.0       54
   236  conventional     60       0       0  2.543/0.815           30.1       58
   237  holistic         60       1       1  3.147/1.245           26.9       55
   237  conventional     60       1       1  1.580/0.773           31.1       59
   238  holistic         60       0       0  3.327/1.270           27.9       56
   238  conventional     60       3       3  1.613/0.741           30.0       58
   239  holistic         60       0       0  3.173/1.284           28.9       57
   239  conventional     60       3       3  1.588/0.749           30.9       59
   240  holistic         60       0       0  3.119/1.284           29.9       58
   240  conventional     60       2       2  2.564/0.770           30.8       59
   241  holistic         60       0       0  3.196/1.305           30.9       59
   241  conventional     60       2       2  1.503/0.779           30.6       59
   242  holistic         60       1       1  3.106/1.267           30.9       51
   242  conventional     60       1       1  2.220/0.811           30.6       56
   243  holistic         60       0       0  3.253/1.296           31.9       52
