population	name	born	body
holistic	he306	101	9c62ed5015a9
holistic	he307	101	dde74970b2cb
conventional	ce340	101	064cde1b95c2
conventional	ce341	101	064cde1b95c2
conventional	ce342	101	064cde1b95c2
holistic	he308	102	d0407611ae12
conventional	ce343	102	064cde1b95c2
conventional	ce344	104	064cde1b95c2
conventional	ce345	105	064cde1b95c2
holistic	he309	106	d5eb11405cda
conventional	ce346	107	064cde1b95c2
conventional	ce347	108	064cde1b95c2
conventional	ce348	109	064cde1b95c2
holistic	he310	110	1d9dbed947bd
conventional	ce349	110	064cde1b95c2
conventional	ce350	112	064cde1b95c2
conventional	ce351	112	064cde1b95c2
holistic	he311	114	e02710425767
holistic	he312	114	f29e72cf7019
conventional	ce352	114	064cde1b95c2
conventional	ce353	114	064cde1b95c2
holistic	he313	115	9cefe5093909
conventional	ce354	117	064cde1b95c2
holistic	he314	119	139b9c46a4f6
conventional	ce355	119	064cde1b95c2
holistic	he315	120	dde74970b2cb
holistic	he316	121	e4c67dfe1e70
conventional	ce356	122	064cde1b95c2
conventional	ce357	123	064cde1b95c2
conventional	ce358	123	064cde1b95c2
conventional	ce359	124	064cde1b95c2
holistic	he317	125	ca766c68ef1b
holistic	he318	125	fe3b40b7a7a1
conventional	ce360	125	064cde1b95c2
conventional	ce361	125	064cde1b95c2
conventional	ce362	126	064cde1b95c2
conventional	ce363	126	064cde1b95c2
conventional	ce364	126	064cde1b95c2
conventional	ce365	126	064cde1b95c2
conventional	ce366	127	064cde1b95c2
conventional	ce367	127	064cde1b95c2
holistic	he319	128	4d47f9646380
holistic	he320	128	a63768b8c7db
conventional	ce368	128	064cde1b95c2
conventional	ce369	128	064cde1b95c2
conventional	ce370	129	064cde1b95c2
conventional	ce371	129	064cde1b95c2
conventional	ce372	129	064cde1b95c2
conventional	ce373	129	064cde1b95c2
holistic	he321	130	0ef4c7f4a7c9
conventional	ce374	130	064cde1b95c2
conventional	ce375	130	064cde1b95c2
conventional	ce376	131	064cde1b95c2
holistic	he322	132	af9ebd967dbb
conventional	ce377	132	064cde1b95c2
conventional	ce378	132	064cde1b95c2
conventional	ce379	132	064cde1b95c2
conventional	ce380	132	064cde1b95c2
conventional	ce381	133	064cde1b95c2
conventional	ce382	133	064cde1b95c2
conventional	ce383	133	064cde1b95c2
conventional	ce384	133	064cde1b95c2
holistic	he323	134	b703ec1825b2
holistic	he324	134	756cde24d8da
holistic	he325	134	62c8cb258b37
conventional	ce385	134	064cde1b95c2
conventional	ce386	134	064cde1b95c2
holistic	he326	135	87ccf3713cbf
holistic	he327	135	1d9dbed947bd
conventional	ce387	135	064cde1b95c2
conventional	ce388	135	064cde1b95c2
conventional	ce389	135	064cde1b95c2
holistic	he328	136	825e5d9a93ff
conventional	ce390	136	064cde1b95c2
conventional	ce391	136	064cde1b95c2
conventional	ce392	136	064cde1b95c2
holistic	he329	137	be9e80649f31
holistic	he330	137	335504b75ec7
holistic	he331	138	d1e48bfdf1c5
holistic	he332	138	16ff5b48f4e3
holistic	he333	138	cfd73616878b
holistic	he334	138	788a54cd247d
conventional	ce393	138	064cde1b95c2
conventional	ce394	138	064cde1b95c2
conventional	ce395	138	064cde1b95c2
holistic	he335	139	1c47ac9dd789
holistic	he336	139	056897cdc6ae
holistic	he337	139	2ad1a6ae2467
conventional	ce396	139	064cde1b95c2
conventional	ce397	139	064cde1b95c2
conventional	ce398	139	064cde1b95c2
holistic	he338	140	380342ab200e
