RBT-107 design adversary: power of the directional (one-sided) tests the coordinator asked for, on the design's own
measured null, with its heavy tail kept, and the n each needs.
null rows (seed: A_NB co-evolved, designed) from design_power.txt: 1: +0.380 +0.027, 2: +0.006 +0.225, 3: +1.153 -0.374, 4: +0.125 +0.045, 7: -0.019 -0.108, 801: -0.034 +0.055, 804: -0.082 -0.134, 805: +0.031 +0.198, 806: +0.066 +0.081, 807: +0.000 -0.049
RMS co-evolved 0.388 (no seed 3: 0.139); designed 0.166; paired co - des 0.506 (no seed 3: 0.159); corr(co, des) across seeds -0.66
smoothing bandwidth (co-evolved, designed): 0.036, 0.074; no seed 3: 0.029, 0.064

== DES  null EMPIRICAL  d~240 as measured
   +0.35  40    0.756    0.733    0.695    0.547    0.646

== CO  null EMPIRICAL  scaled to d=800 (x1.83)
   delta  n        t   wilcox   yuen20     sign   2s-int   (power; delta 0 row = size)
   +0.00  10    0.025    0.038    0.042    0.009    0.007
   +0.00  15    0.040    0.044    0.039    0.017    0.010
   +0.00  20    0.041    0.048    0.041    0.022    0.012
   +0.00  30    0.053    0.054    0.047    0.054    0.020
   +0.00  40    0.052    0.051    0.046    0.044    0.024
   +0.10  10    0.208    0.371    0.447    0.211    0.121
   +0.10  15    0.215    0.510    0.602    0.393    0.115
   +0.10  20    0.218    0.620    0.713    0.552    0.133
   +0.10  30    0.232    0.766    0.855    0.845    0.151
   +0.10  40    0.250    0.855    0.927    0.905    0.158
   +0.20  10    0.398    0.632    0.823    0.544    0.264
   +0.20  15    0.421    0.774    0.916    0.814    0.337
   +0.20  20    0.407    0.851    0.948    0.932    0.334
   +0.20  30    0.480    0.940    0.973    0.998    0.359
   +0.20  40    0.565    0.981    0.992    0.999    0.444
   +0.30  10    0.540    0.737    0.912    0.713    0.454
   +0.30  15    0.510    0.831    0.939    0.926    0.448
   +0.30  20    0.603    0.908    0.974    0.982    0.464
   +0.30  30    0.726    0.969    0.998    1.000    0.629
   +0.30  40    0.833    0.993    1.000    1.000    0.745

== CO  null EMP-NO3  scaled to d=800 (x1.83)
   delta  n        t   wilcox   yuen20     sign   2s-int   (power; delta 0 row = size)
   +0.00  10    0.042    0.043    0.049    0.011    0.014
   +0.00  15    0.045    0.046    0.052    0.019    0.016
   +0.00  20    0.047    0.048    0.051    0.020    0.019
   +0.00  30    0.053    0.050    0.053    0.051    0.023
   +0.00  40    0.048    0.050    0.051    0.040    0.021
   +0.10  10    0.428    0.500    0.594    0.288    0.312
   +0.10  15    0.457    0.683    0.758    0.527    0.365
   +0.10  20    0.547    0.794    0.862    0.709    0.427
   +0.10  30    0.669    0.914    0.949    0.930    0.558
   +0.10  40    0.787    0.972    0.988    0.974    0.683
