population	name	born	g1	g2	n1	n2	ns	g2_contact	g2_height	g2_up	g2_joint	g1_other	g1_vel
holistic	he318	146	0	0	0	0	3	0	0	0	0	0	0
conventional	ce390	146	0	26.215831	0	14	7	3.380805	3.743046	7.374277	11.717703	0	0
holistic	he319	147	0	0	0	0	0	0	0	0	0	0	0
holistic	he320	147	0	3.436448	0	8	4	0	3.436448	0	0	3.880710	0
holistic	he321	147	0	0	0	0	2	0	0	0	0	0	0
holistic	he322	147	0	0	0	0	3	0	0	0	0	0	0
holistic	he323	147	0	0	0	0	3	0	0	0	0	0	0
holistic	he324	147	0	0	0	0	2	0	0	0	0	0	0
holistic	he325	147	0	0	0	0	0	0	0	0	0	0	0
conventional	ce391	147	0	28.776770	0	14	7	4.673914	4.694788	8.373563	11.034505	0	0
holistic	he326	148	7.970332	17.817510	6	10	10	0	9.545490	0	8.272020	0	0
holistic	he327	148	0	0	0	0	3	0	0	0	0	0	0
holistic	he328	148	0	0	0	0	2	0	0	0	0	0	0
holistic	he329	148	0	0	0	0	9	0	0	0	0	0.947428	0
holistic	he330	148	0	0	0	0	3	0	0	0	0	0	0
conventional	ce392	148	0	31.889198	0	14	7	1.220172	5.953206	10.686765	14.029055	1.358440	0
conventional	ce393	148	0	14.900376	0	14	7	2.375797	1.482081	7.756401	3.286097	0	0
