generation	terrain_seed	start_seed	h_best	h_mean	h_best_distance	h_best_parts	h_best_mass	c_best	c_mean	c_best_distance	c_best_parts	c_best_mass	champ_holistic_mean	champ_holistic_wins	champ_conventional_wins	champ_bouts
228	664329928		0.604212	0.398738	1.333721	6	15.340000	0.841673	0.573236	0.584763	5	15.337000				
229	576072868		0.855571	0.381382	0.470738	6	15.340000	0.829405	0.508195	0.320045	5	15.337000				
230	1998930549		0.858216	0.433348	0.283094	10	15.340000	0.976791	0.639385	0.060139	5	15.337000	0.117162	0	50	50
231	11113780		0.653270	0.506292	2.026205	10	15.340000	0.841774	0.413996	0.067896	5	15.337000				
232	1553707804		0.725757	0.505617	0.661765	3	15.340000	0.968118	0.386879	0.605158	5	15.337000				
233	1429986959		0.801153	0.208620	0.467772	3	15.340000	0.972453	0.631929	0.544063	5	15.337000				
234	1503868384		0.655738	0.316721	0.485316	3	15.340000	0.537089	0.487387	1.069367	5	15.337000				
235	1981031393		0.739767	0.328983	0.689748	3	15.340000	0.866408	0.465648	0.073659	5	15.337000	0.381333	12	38	50
236	1682657200		0.614338	0.246071	0.496670	3	15.340000	0.941946	0.591803	0.322095	5	15.337000				
237	2045853851		0.890195	0.308410	1.063360	3	15.340000	0.966910	0.583331	0.024746	5	15.337000				
238	666777965		0.809068	0.395159	0.247358	3	15.340000	0.692945	0.541535	0.613723	5	15.337000				
239	89258891		0.579232	0.320097	1.175783	4	15.340000	1.000000	0.665996	0.744134	5	15.337000				
240	217162493		0.789131	0.570998	0.960586	3	15.340000	1.000000	0.538739	0.512990	5	15.337000	0.397965	12	38	50
241	1258195901		0.659252	0.357039	0.958839	3	15.340000	1.000000	0.455822	1.527297	5	15.337000				
242	1947991401		0.663868	0.358563	0.735795	3	15.340000	0.944948	0.611499	0.087740	5	15.337000				
243	1930527009		0.689162	0.300179	0.772344	3	15.340000	0.868702	0.489376	0.058464	5	15.337000				
244	1732811151		0.537410	0.286829	0.641654	3	15.340000	0.843587	0.466910	0.071821	5	15.337000				
245	1331485128		0.622933	0.333430	0.745436	3	15.340000	0.665157	0.384285	0.227393	5	15.337000	0.253942	2	48	50
246	2076620528		0.588820	0.335433	0.520549	3	15.340000	0.813872	0.455750	0.091306	5	15.337000				
247	1280965093		0.613270	0.302205	0.657845	3	15.340000	0.966805	0.420246	0.036120	5	15.337000				
