population	name	born	g1	g2	n1	n2	ns	g2_contact	g2_height	g2_up	g2_joint	g1_other	g1_vel
holistic	he117	18	0.887638	4.609121	1	4	7	0	0	3.710380	0.898741	0.294058	0
conventional	ce128	18	1.406702	20.659833	1	14	7	3.324771	2.791712	10.560729	3.982621	0	0
conventional	ce129	18	0	32.019243	0	14	7	2.433375	3.634950	15.912409	10.038509	0	0
holistic	he118	19	0	0	0	0	10	0	0	0	0	1.903863	0
holistic	he119	19	0	0	0	0	5	0	0	0	0	0.520752	0
holistic	he120	19	0	0	0	0	3	0	0	0	0	0.275299	0
holistic	he121	19	0	0	0	0	3	0	0	0	0	0.099456	0
holistic	he122	19	0	0	0	0	3	0	0	0	0	0.275299	0
holistic	he123	19	0	0	0	0	3	0	0	0	0	0.099456	0
holistic	he124	19	0	0	0	0	6	0	0	0	0	0.198912	0
holistic	he125	19	0	0	0	0	3	0	0	0	0	0.002714	0
holistic	he126	19	0	0	0	0	4	0	0	0	0	0.275299	0
holistic	he127	19	0	0	0	0	7	0	0	0	0	1.902358	0
holistic	he128	19	0	0	0	0	3	0	0	0	0	0	0
holistic	he129	19	2.527258	9.040066	2	10	8	0	0	5.215964	3.824102	0.198912	0
holistic	he130	19	0	0	0	0	3	0	0	0	0	0.275299	0
conventional	ce130	19	0	26.520965	0	14	7	2.446673	2.445597	11.676677	9.952018	0	0
conventional	ce131	19	0	23.390793	0	14	7	2.249805	0.110881	15.182846	5.847261	0	0
conventional	ce132	19	0	26.483994	0	14	7	4.606643	2.187260	15.723815	3.966276	0	0
holistic	he131	20	0	0	0	0	8	0	0	0	0	0.951179	0
holistic	he132	20	0	0	0	0	3	0	0	0	0	0.275299	0
holistic	he133	20	0	0	0	0	8	0	0	0	0	0	0
holistic	he134	20	0	0	0	0	3	0	0	0	0	0	0
holistic	he135	20	0	0	0	0	4	0	0	0	0	0.099456	0
holistic	he136	20	0	0	0	0	3	0	0	0	0	0.275299	0
holistic	he137	20	0	0	0	0	10	0	0	0	0	0	0
holistic	he138	20	0	0	0	0	2	0	0	0	0	0	0
holistic	he139	20	0	0	0	0	3	0	0	0	0	0.275299	0
holistic	he140	20	0	0	0	0	3	0	0	0	0	0.275299	0
holistic	he141	20	0	0	0	0	7	0	0	0	0	1.718020	0
conventional	ce133	20	0	25.916945	0	14	7	1.611915	4.774278	11.123049	8.407703	0	0
conventional	ce134	20	0	38.448395	0	14	7	5.068570	5.115071	20.900229	7.364525	0	0
conventional	ce135	20	0	17.174130	0	14	7	5.202012	2.517903	6.825410	2.628805	0	0
conventional	ce136	20	0	25.920694	0	14	7	6.342955	2.491402	10.864626	6.221711	0	0
holistic	he142	21	0	0	0	0	0	0	0	0	0	0	0
holistic	he143	21	0	0	0	0	8	0	0	0	0	0	0
holistic	he144	22	2.095682	25.717936	2	22	9	0	10.373000	7.223662	8.121274	0	0
holistic	he145	22	0	0	0	0	8	0	0	0	0	0.391272	0
holistic	he146	22	0	0	0	0	3	0	0	0	0	0.270112	0
holistic	he147	22	0	0	0	0	3	0	0	0	0	0.198912	0
holistic	he148	22	0	0	0	0	8	0	0	0	0	0.859010	0
holistic	he149	22	0	0	0	0	3	0	0	0	0	0.099456	0
conventional	ce137	22	1.434593	17.788616	1	14	7	2.044418	2.308631	8.921957	4.513610	0	0
conventional	ce138	22	0	41.955422	0	14	7	5.497048	15.804904	10.400092	10.253378	0.606526	0
conventional	ce139	22	0	25.593897	0	14	7	4.104087	2.955122	11.164470	7.370218	0	0
conventional	ce140	22	0	20.509526	0	14	7	2.229909	2.745620	10.078691	5.455306	0.456522	0
holistic	he150	23	1.775276	15.737303	2	45	22	0	0	9.528081	6.209222	0	0
holistic	he151	23	0	0	0	0	3	0	0	0	0	0.198912	0
holistic	he152	23	0	0	0	0	3	0	0	0	0	0	0
holistic	he153	23	0	0	0	0	5	0	0	0	0	0	0
holistic	he154	23	0	0	0	0	3	0	0	0	0	0	0
holistic	he155	23	0	0	0	0	3	0	0	0	0	0.002714	0
holistic	he156	23	0	0	0	0	3	0	0	0	0	0.408661	0
holistic	he157	23	0	0	0	0	2	0	0	0	0	2.853537	0
holistic	he158	23	0	0	0	0	3	0	0	0	0	0.275299	0
conventional	ce141	23	0	22.487994	0	14	7	2.429989	0.995213	14.110688	4.952104	0	0
conventional	ce142	23	0	25.294561	0	14	7	5.251904	1.695546	12.174803	6.172308	0	0
conventional	ce143	23	0	28.035686	0	14	7	0.461797	5.183057	13.870882	8.519950	0	0
