season	population	alive	energy_head	ran	starved	aged	net_survivors	net_all_ub	food	work
162	holistic	60	16.4154	60	0	0	0.4445	0.4445	0.5167	0.0722
162	conventional	60	13.3375	58	2	0	0.7409	0.7111	1.2414	0.5005
163	holistic	60	16.9459	58	1	1	0.9395	0.9238	1.0172	0.0777
163	conventional	60	13.3650	58	1	1	0.8644	0.8370	1.3621	0.4977
164	holistic	60	16.8261	59	0	1	0.9827	0.9827	1.0508	0.0682
164	conventional	60	14.3312	60	0	0	1.2162	1.2162	1.7167	0.5005
165	holistic	60	17.0245	58	1	1	0.9372	0.9213	1.0172	0.0801
165	conventional	60	16.0799	60	0	0	1.9987	1.9987	2.5000	0.5013
166	holistic	60	17.8820	60	0	0	1.1075	1.1075	1.1833	0.0758
166	conventional	60	16.4739	59	0	1	1.3756	1.3756	1.8814	0.5057
167	holistic	60	18.6265	59	1	0	1.0111	0.9945	1.0847	0.0736
167	conventional	60	16.8349	58	2	0	0.6393	0.6109	1.1379	0.4986
168	holistic	60	18.0188	58	1	1	1.1202	1.1027	1.1897	0.0694
168	conventional	60	16.6399	59	0	1	1.0794	1.0794	1.5763	0.4969
169	holistic	60	17.2887	59	0	1	0.8091	0.8091	0.8814	0.0723
169	conventional	60	16.9770	59	1	0	0.5985	0.5871	1.1017	0.5032
170	holistic	60	18.0477	60	0	0	1.0090	1.0090	1.0833	0.0743
170	conventional	60	17.4409	58	2	0	0.7437	0.7138	1.2414	0.4977
171	holistic	60	18.6711	59	1	0	0.8881	0.8734	0.9661	0.0780
171	conventional	60	17.2893	59	1	0	0.0988	0.0985	0.5932	0.4944
172	holistic	60	19.1298	59	1	0	0.7207	0.7087	0.7966	0.0759
172	conventional	60	17.5265	59	1	0	0.5081	0.4872	1.0000	0.4919
173	holistic	60	18.5024	58	0	2	0.5049	0.5049	0.5862	0.0813
173	conventional	60	17.3692	59	0	1	0.8129	0.8129	1.3220	0.5091
174	holistic	60	19.1753	60	0	0	0.9229	0.9229	1.0000	0.0771
174	conventional	60	18.0943	60	0	0	0.9751	0.9751	1.4667	0.4915
175	holistic	60	19.0386	59	0	1	0.8411	0.8411	0.9153	0.0741
175	conventional	60	18.7433	59	1	0	0.9142	0.8990	1.4237	0.5095
176	holistic	60	20.2947	59	1	0	1.5314	1.5061	1.6102	0.0788
